Pr^-1	tf		n	h			dt		 	2_T_error	2_T_rate	2_u_error		2_u_rate	 1_T_error	1_T_rate	1_u_error	1_u_rate	 0_T_error	0_T_rate	0_u_error		0_u_rate
2000	0.05	2	0.353553	1e-005		0.14483		-7.9246		0.0362125		-9.23792	3.55195		-4.95159	1.11729		-4.06629	0.144394	-9.80827	0.0362124		-9.24915
2000	0.05	3	0.176777	1e-005		0.0398712	1.86094		0.018338		0.981654	1.82108		0.963819	1.12939		-0.0155367	0.0394533	1.8718		0.0183378		0.981664
2000	0.05	4	0.0883883	1e-005		0.0104974	1.92531		0.00822824		1.15618		0.91635		0.99082		0.999462	0.176321	0.0100896	1.96728		0.00822794		1.15622
2000	0.05	5	0.0441942	1e-005		0.00292371	1.84416		0.00262873		1.64622		0.458912	0.997682	0.639193	0.6449		0.00253814	1.99102		0.00262834		1.64638
2000	0.05	6	0.0220971	1e-005		0.000965332	1.59871		0.000438754		2.58288		0.229548	0.999419	0.219933	1.53919		0.000636353	1.99587		0.000438478		2.58358
2000	0.05	7	0.0110485	1e-005		0.000396603	1.28333		5.98968e-005	2.87286		0.114786	0.999855	0.0668706	1.71762		0.000159802	1.99354		5.97099e-005	2.87646

2000	0.05	2	0.353553	5e-006		0.144613	-8.51028	0.0362094		-9.23967	3.55195		-4.9516		1.1172		-4.06236	0.144395	-9.81952	0.0362093		-9.24418
2000	0.05	3	0.176777	5e-006		0.0396626	1.86635		0.0183373		0.981585	1.82108		0.96382		1.12935		-0.0156062	0.0394531	1.87181		0.0183372		0.98159
2000	0.05	4	0.0883883	5e-006		0.0102952	1.94581		0.00822953		1.1559		0.91635		0.99082		0.999625	0.176029	0.0100892	1.96732		0.00822937		1.15592
2000	0.05	5	0.0441942	5e-006		0.00273735	1.91111		0.00263065		1.64539		0.458912	0.997682	0.639683	0.644029	0.00253774	1.9912		0.00263046		1.64547
2000	0.05	6	0.0220971	5e-006		0.000817239	1.74395		0.000439243		2.58233		0.229548	0.999419	0.220216	1.53844		0.00063594	1.99658		0.000439105		2.58268
2000	0.05	7	0.0110485	5e-006		0.00030213	1.43559		5.98732e-005	2.87504		0.114786	0.999855	0.0669299	1.7182		0.000159386	1.99636		5.97796e-005	2.87684

2000	0.05	2	0.353553	2.5e-006	0.144504	-8.90173	0.0362078		-9.24017	3.55195		-4.9516		1.11715		-4.06102	0.144395	-9.82328	0.0362078		-9.24243
2000	0.05	3	0.176777	2.5e-006	0.0395579	1.86907		0.0183369		0.981551	1.82108		0.96382		1.12932		-0.0156409	0.039453	1.87182		0.0183369		0.981553
2000	0.05	4	0.0883883	2.5e-006	0.0101925	1.95645		0.00823017		1.15576		0.91635		0.99082		0.999706	0.175883	0.010089	1.96735		0.00823009		1.15577
2000	0.05	5	0.0441942	2.5e-006	0.00263924	1.94932		0.00263162		1.64497		0.458912	0.997682	0.639929	0.643593	0.00253754	1.99129		0.00263152		1.64501
2000	0.05	6	0.0220971	2.5e-006	0.000732043	1.85012		0.000439488		2.58205		0.229548	0.999419	0.220357	1.53807		0.000635734	1.99693		0.000439419		2.58223
2000	0.05	7	0.0110485	2.5e-006	0.000241407	1.60046		5.98619e-005	2.87612		0.114786	0.999855	0.0669596	1.71848		0.000159179	1.99778		5.98151e-005	2.87702

2000	0.05	2	0.353553	1e-006		0.144439	-9.22478	0.0362068		-9.24041	3.55195		-4.9516		1.11712		-4.06035	0.144395	-9.82516	0.0362068		-9.24154
2000	0.05	3	0.176777	1e-006		0.0394949	1.87072		0.0183367		0.98153		1.82108		0.963821	1.12931		-0.0156617	0.039453	1.87182		0.0183367		0.981531
2000	0.05	4	0.0883883	1e-006		0.0101305	1.96297		0.00823055		1.15567		0.91635		0.99082		0.999755	0.175795	0.0100889	1.96736		0.00823052		1.15567
2000	0.05	5	0.0441942	1e-006		0.00257858	1.97405		0.0026322		1.64472		0.458912	0.997682	0.640076	0.643332	0.00253742	1.99134		0.00263216		1.64474
2000	0.05	6	0.0220971	1e-006		0.00067579	1.93193		0.000439636		2.58189		0.229548	0.999419	0.220443	1.53784		0.00063561	1.99715		0.000439608		2.58196
2000	0.05	7	0.0110485	1e-006		0.000196148	1.78463		5.98552e-005	2.87676		0.114786	0.999855	0.0669775	1.71866		0.000159054	1.99862		5.98365e-005	2.87712
